package name,file,class,type,cbo,totalMethodsQty,nosi,parenthesizedExpsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,modifiers,nof,nom,fanin,fanout,ca,ce,I,D,is_CD
com.jgraph,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\JGraphpadDemo.java,com.jgraph.JGraphpadDemo$JGraphpadDemoFileAction,innerclass,97,72,46,8,14,7,14,22,50,93,98,78,17,7,0.29,0.71,1
com.jgraph.browserplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\browserplugin\JGraphpadBrowserPlugin.java,com.jgraph.browserplugin.JGraphpadBrowserPlugin,class,17,13,29,0,17,7,0,12,40,15,3,11,0,5,1,0,0
com.jgraph.bshplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\bshplugin\JGraphpadBshPlugin.java,com.jgraph.bshplugin.JGraphpadBshPlugin$ExtendedBottomTabFactoryMethod,innerclass,17,5,1,0,1,4,0,19,8,9,3,14,0,5,1,0,0
com.jgraph.codecplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\codecplugin\JGraphpadGXLCodec.java,com.jgraph.codecplugin.JGraphpadGXLCodec,class,49,43,112,14,37,16,1,13,17,47,12,24,2,6,0.75,0.25,0
com.jgraph.editor,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\editor\JGraphEditorTool.java,com.jgraph.editor.JGraphEditorTool,class,54,145,64,17,27,26,7,1040,36,160,145,29,18,6,0.25,0.35,1
com.jgraph.editor.factory,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\editor\factory\JGraphEditorToolbox.java,com.jgraph.editor.factory.JGraphEditorToolbox$MarqueeRedirector,innerclass,80,124,37,54,131,27,7,1112,89,169,61,27,6,4,0.4,0.54,1
com.jgraph.epsplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\epsplugin\JGraphpadEPSPlugin.java,com.jgraph.epsplugin.JGraphpadEPSPlugin,class,21,7,12,0,6,3,0,11,4,10,4,14,0,6,1,0,0
com.jgraph.jgxplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\jgxplugin\JGraphpadJGXPlugin.java,com.jgraph.jgxplugin.JGraphpadJGXPlugin,class,39,43,49,5,6,11,0,30,42,65,5,23,0,7,1,0,0
com.jgraph.l2fplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\l2fplugin\JGraphpadL2FPropertySheet.java,com.jgraph.l2fplugin.JGraphpadL2FPropertySheet$FactoryMethod,innerclass,42,17,11,2,5,5,2,31,8,26,10,32,0,7,1,0,0
com.jgraph.layoutplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\layoutplugin\JGraphpadLayoutPlugin.java,com.jgraph.layoutplugin.JGraphpadLayoutPlugin$ExtendedBottomTabFactoryMethod,innerclass,62,29,36,4,3,13,5,40,35,45,14,37,0,10,1,0,0
com.jgraph.pad,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\JGraphpadLibrary.java,com.jgraph.pad.JGraphpadLibrary,class,3,28,0,1,0,1,0,3,6,28,9,2,2,2,0.5,0.5,1
com.jgraph.pad.action,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\action\JGraphpadViewAction.java,com.jgraph.pad.action.JGraphpadViewAction$AllActions,innerclass,121,92,180,30,47,158,0,60,583,106,28,77,9,9,0.5,0.5,1
com.jgraph.pad.dialog,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\dialog\JGraphpadHeaderPanel.java,com.jgraph.pad.dialog.JGraphpadHeaderPanel,class,24,44,50,11,9,6,6,33,17,62,18,18,5,3,0.38,0.62,1
com.jgraph.pad.factory,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\factory\JGraphpadWindowMenu.java,com.jgraph.pad.factory.JGraphpadWindowMenu$FactoryMethod,innerclass,138,122,69,28,78,42,26,117,97,225,68,114,5,9,0.64,0.36,1
com.jgraph.pad.graph,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\graph\JGraphpadVertexView.java,com.jgraph.pad.graph.JGraphpadVertexView,class,115,137,65,103,243,50,5,27,72,174,73,42,0,4,1,0,1
com.jgraph.pad.tool,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\tool\JGraphpadVertexTool.java,com.jgraph.pad.tool.JGraphpadVertexTool,class,17,31,3,18,26,9,0,2,10,31,2,0,1,2,0.67,0.33,0
com.jgraph.pad.util,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\util\JGraphpadTreeModelAdapter.java,com.jgraph.pad.util.JGraphpadTreeModelAdapter,class,43,146,23,61,113,31,1,2118,145,199,47,19,4,5,0.56,0.33,1
com.jgraph.pdfplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pdfplugin\JGraphpadPDFPlugin.java,com.jgraph.pdfplugin.JGraphpadPDFPlugin,class,23,7,12,0,8,3,0,11,4,10,4,14,0,6,1,0,0
com.jgraph.svgplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\svgplugin\JGraphpadSVGServer.java,com.jgraph.svgplugin.JGraphpadSVGServer$HTTPSession,innerclass,42,31,38,2,18,11,1,15,36,47,9,25,0,7,1,0,0
com.jgraph.twikiplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\twikiplugin\JGraphpadTWikiPlugin.java,com.jgraph.twikiplugin.JGraphpadTWikiPlugin,class,24,7,12,2,5,3,0,11,7,10,4,17,0,6,1,0,0
